['-0.29', '+0.76', '+0.02', '-0.42', 1]
['+0.02', '+0.16', '-0.05', '-0.27', 1]
['+0.02', '-0.03', '-0.05', '+0.01', 0]
['+0.02', '+0.16', '-0.05', '-0.30', 1]
['+0.02', '-0.03', '-0.06', '-0.02', 0]
['+0.02', '-0.23', '-0.06', '+0.25', 0]
['+0.02', '-0.03', '-0.05', '-0.06', 1]
['+0.02', '-0.22', '-0.05', '+0.22', 0]
['+0.01', '-0.03', '-0.05', '-0.09', 1]
['+0.01', '-0.22', '-0.05', '+0.18', 0]
['+0.01', '-0.03', '-0.05', '-0.12', 1]
['+0.01', '-0.22', '-0.05', '+0.15', 0]
['+0.00', '-0.03', '-0.05', '-0.16', 1]
['+0.00', '-0.22', '-0.05', '+0.12', 0]
['-0.00', '-0.02', '-0.05', '-0.19', 1]
['-0.00', '-0.22', '-0.05', '+0.09', 0]
['-0.01', '-0.02', '-0.05', '-0.22', 1]
['-0.01', '-0.22', '-0.05', '+0.06', 0]
['-0.01', '-0.02', '-0.05', '-0.25', 1]
['-0.01', '-0.22', '-0.06', '+0.02', 0]
['-0.02', '-0.41', '-0.06', '+0.30', 0]
['-0.02', '-0.21', '-0.05', '-0.01', 1]
['-0.03', '-0.41', '-0.05', '+0.26', 0]
['-0.04', '-0.21', '-0.05', '-0.04', 1]
['-0.04', '-0.41', '-0.05', '+0.23', 0]
['-0.05', '-0.21', '-0.04', '-0.07', 1]
['-0.05', '-0.41', '-0.04', '+0.20', 0]
['-0.06', '-0.21', '-0.04', '-0.10', 1]
['-0.07', '-0.40', '-0.04', '+0.18', 0]
['-0.07', '-0.21', '-0.04', '-0.13', 1]
['-0.08', '-0.40', '-0.04', '+0.15', 0]
['-0.09', '-0.21', '-0.04', '-0.15', 1]
['-0.09', '-0.40', '-0.04', '+0.13', 0]
['-0.10', '-0.21', '-0.04', '-0.18', 1]
['-0.10', '-0.40', '-0.04', '+0.10', 0]
['-0.11', '-0.20', '-0.04', '-0.20', 1]
['-0.11', '-0.40', '-0.04', '+0.07', 0]
['-0.12', '-0.59', '-0.04', '+0.35', 0]
['-0.13', '-0.40', '-0.04', '+0.05', 1]
['-0.14', '-0.59', '-0.04', '+0.33', 0]
['-0.15', '-0.40', '-0.03', '+0.02', 1]
['-0.16', '-0.59', '-0.03', '+0.31', 0]
['-0.17', '-0.40', '-0.02', '+0.01', 1]
['-0.18', '-0.59', '-0.02', '+0.29', 0]
['-0.19', '-0.40', '-0.02', '-0.01', 1]
['-0.20', '-0.59', '-0.02', '+0.28', 0]
['-0.21', '-0.40', '-0.01', '-0.02', 1]
['-0.22', '-0.59', '-0.01', '+0.27', 0]
['-0.23', '-0.40', '-0.01', '-0.02', 1]
['-0.24', '-0.59', '-0.01', '+0.27', 0]
['-0.25', '-0.39', '-0.00', '-0.03', 1]
['-0.26', '-0.59', '-0.00', '+0.27', 0]
['-0.27', '-0.39', '+0.00', '-0.03', 1]
['-0.28', '-0.59', '+0.00', '+0.27', 0]
['-0.29', '-0.39', '+0.01', '-0.03', 1]
['-0.30', '-0.59', '+0.01', '+0.27', 0]
['-0.31', '-0.40', '+0.01', '-0.02', 1]
['-0.32', '-0.59', '+0.01', '+0.28', 0]
['-0.33', '-0.40', '+0.02', '-0.01', 1]
['-0.34', '-0.59', '+0.02', '+0.29', 0]
['-0.35', '-0.40', '+0.02', '+0.00', 1]
['-0.36', '-0.59', '+0.02', '+0.30', 0]
['-0.37', '-0.40', '+0.03', '+0.02', 1]
['-0.38', '-0.59', '+0.03', '+0.32', 0]
['-0.39', '-0.40', '+0.04', '+0.04', 1]
['-0.40', '-0.59', '+0.04', '+0.34', 0]
['-0.41', '-0.40', '+0.04', '+0.06', 1]
['-0.42', '-0.59', '+0.05', '+0.37', 0]
['-0.43', '-0.40', '+0.05', '+0.09', 1]
['-0.44', '-0.60', '+0.06', '+0.40', 0]
['-0.45', '-0.40', '+0.06', '+0.12', 1]
['-0.46', '-0.21', '+0.07', '-0.15', 1]
['-0.46', '-0.40', '+0.06', '+0.16', 0]
['-0.47', '-0.21', '+0.07', '-0.11', 1]
['-0.47', '-0.41', '+0.06', '+0.20', 0]
['-0.48', '-0.21', '+0.07', '-0.07', 1]
['-0.49', '-0.41', '+0.07', '+0.24', 0]
['-0.49', '-0.21', '+0.07', '-0.03', 1]
['-0.50', '-0.41', '+0.07', '+0.29', 0]
['-0.51', '-0.22', '+0.08', '+0.02', 1]
['-0.51', '-0.41', '+0.08', '+0.33', 0]
['-0.52', '-0.22', '+0.08', '+0.07', 1]
['-0.52', '-0.02', '+0.08', '-0.20', 1]
['-0.52', '-0.22', '+0.08', '+0.12', 0]
['-0.53', '-0.03', '+0.08', '-0.15', 1]
['-0.53', '-0.22', '+0.08', '+0.17', 0]
['-0.53', '-0.03', '+0.08', '-0.10', 1]
['-0.53', '-0.22', '+0.08', '+0.22', 0]
['-0.54', '-0.03', '+0.09', '-0.04', 1]
['-0.54', '-0.23', '+0.09', '+0.28', 0]
['-0.54', '-0.03', '+0.09', '+0.01', 1]
['-0.54', '-0.23', '+0.09', '+0.33', 0]
['-0.55', '-0.04', '+0.10', '+0.07', 1]
['-0.55', '+0.16', '+0.10', '-0.19', 1]
['-0.55', '-0.04', '+0.10', '+0.13', 0]
['-0.55', '+0.16', '+0.10', '-0.13', 1]
['-0.54', '-0.04', '+0.10', '+0.19', 0]
['-0.55', '+0.15', '+0.10', '-0.07', 1]
['-0.54', '-0.04', '+0.10', '+0.25', 0]
['-0.54', '+0.15', '+0.10', '-0.01', 1]
['-0.54', '+0.34', '+0.10', '-0.27', 1]
['-0.53', '+0.15', '+0.10', '+0.06', 0]
['-0.53', '+0.34', '+0.10', '-0.20', 1]
['-0.52', '+0.14', '+0.09', '+0.12', 0]
['-0.52', '+0.34', '+0.10', '-0.14', 1]
['-0.51', '+0.14', '+0.09', '+0.18', 0]
['-0.51', '+0.34', '+0.10', '-0.08', 1]
['-0.50', '+0.53', '+0.10', '-0.34', 1]
['-0.49', '+0.33', '+0.09', '-0.02', 0]
['-0.49', '+0.53', '+0.09', '-0.29', 1]
['-0.48', '+0.33', '+0.08', '+0.03', 0]
['-0.47', '+0.52', '+0.08', '-0.23', 1]
['-0.46', '+0.33', '+0.08', '+0.08', 0]
['-0.45', '+0.52', '+0.08', '-0.18', 1]
['-0.44', '+0.33', '+0.08', '+0.13', 0]
['-0.44', '+0.52', '+0.08', '-0.13', 1]
['-0.43', '+0.71', '+0.08', '-0.40', 1]
['-0.41', '+0.52', '+0.07', '-0.08', 0]
['-0.40', '+0.71', '+0.07', '-0.35', 1]
['-0.39', '+0.52', '+0.06', '-0.04', 0]
['-0.38', '+0.71', '+0.06', '-0.31', 1]
['-0.36', '+0.51', '+0.05', '-0.00', 0]
['-0.35', '+0.71', '+0.05', '-0.28', 1]
['-0.34', '+0.51', '+0.05', '+0.03', 0]
['-0.33', '+0.71', '+0.05', '-0.25', 1]
['-0.31', '+0.51', '+0.04', '+0.06', 0]
['-0.30', '+0.70', '+0.04', '-0.22', 1]
['-0.29', '+0.51', '+0.04', '+0.09', 0]
['-0.28', '+0.70', '+0.04', '-0.19', 1]
['-0.27', '+0.90', '+0.04', '-0.47', 1]
['-0.25', '+0.70', '+0.03', '-0.17', 0]
['-0.23', '+0.90', '+0.02', '-0.45', 1]
['-0.22', '+0.70', '+0.02', '-0.15', 0]
['-0.20', '+0.90', '+0.01', '-0.44', 1]
['-0.18', '+0.70', '+0.00', '-0.14', 0]
['-0.17', '+0.90', '+0.00', '-0.44', 1]
['-0.15', '+0.70', '-0.01', '-0.14', 0]
['-0.14', '+0.90', '-0.01', '-0.44', 1]
['-0.12', '+0.70', '-0.02', '-0.15', 0]
