['-0.20', '-0.35', '-0.07', '+0.23', 0]
['-0.02', '+0.20', '+0.04', '-0.28', 1]
['-0.01', '+0.01', '+0.03', '+0.03', 0]
['-0.01', '+0.20', '+0.03', '-0.26', 1]
['-0.01', '+0.01', '+0.03', '+0.05', 0]
['-0.01', '+0.20', '+0.03', '-0.24', 1]
['-0.01', '+0.01', '+0.02', '+0.06', 0]
['-0.01', '+0.20', '+0.02', '-0.22', 1]
['-0.00', '+0.01', '+0.02', '+0.08', 0]
['-0.00', '+0.20', '+0.02', '-0.21', 1]
['+0.00', '+0.01', '+0.02', '+0.09', 0]
['+0.00', '+0.20', '+0.02', '-0.20', 1]
['+0.01', '+0.01', '+0.01', '+0.10', 0]
['+0.01', '+0.20', '+0.02', '-0.19', 1]
['+0.01', '+0.00', '+0.01', '+0.11', 0]
['+0.01', '+0.20', '+0.02', '-0.18', 1]
['+0.01', '+0.00', '+0.01', '+0.12', 0]
['+0.01', '+0.20', '+0.01', '-0.17', 1]
['+0.02', '+0.00', '+0.01', '+0.13', 0]
['+0.02', '+0.20', '+0.01', '-0.16', 1]
['+0.02', '+0.00', '+0.01', '+0.14', 0]
['+0.02', '+0.20', '+0.01', '-0.15', 1]
['+0.03', '+0.00', '+0.01', '+0.14', 0]
['+0.03', '+0.20', '+0.01', '-0.15', 1]
['+0.03', '+0.00', '+0.01', '+0.15', 0]
['+0.03', '+0.20', '+0.01', '-0.14', 1]
['+0.03', '+0.00', '+0.01', '+0.16', 0]
['+0.03', '+0.20', '+0.01', '-0.13', 1]
['+0.04', '+0.00', '+0.01', '+0.17', 0]
['+0.04', '+0.20', '+0.01', '-0.12', 1]
['+0.04', '+0.00', '+0.01', '+0.17', 0]
['+0.04', '+0.20', '+0.01', '-0.12', 1]
['+0.05', '+0.00', '+0.01', '+0.18', 0]
['+0.05', '+0.20', '+0.02', '-0.11', 1]
['+0.05', '+0.00', '+0.01', '+0.19', 0]
['+0.05', '+0.20', '+0.02', '-0.10', 1]
['+0.05', '+0.00', '+0.02', '+0.20', 0]
['+0.05', '+0.20', '+0.02', '-0.09', 1]
['+0.06', '+0.39', '+0.02', '-0.37', 1]
['+0.07', '+0.20', '+0.01', '-0.07', 0]
['+0.07', '+0.39', '+0.01', '-0.36', 1]
['+0.08', '+0.19', '+0.00', '-0.07', 0]
['+0.08', '+0.39', '+0.00', '-0.36', 1]
['+0.09', '+0.19', '-0.01', '-0.07', 0]
['+0.09', '+0.39', '-0.01', '-0.36', 1]
['+0.10', '+0.20', '-0.02', '-0.07', 0]
['+0.11', '+0.39', '-0.02', '-0.37', 1]
['+0.11', '+0.20', '-0.02', '-0.08', 0]
['+0.12', '+0.39', '-0.03', '-0.38', 1]
['+0.12', '+0.20', '-0.03', '-0.10', 0]
['+0.13', '+0.00', '-0.04', '+0.18', 0]
['+0.13', '+0.20', '-0.03', '-0.12', 1]
['+0.13', '+0.00', '-0.03', '+0.16', 0]
['+0.13', '+0.20', '-0.03', '-0.14', 1]
['+0.14', '+0.00', '-0.03', '+0.14', 0]
['+0.14', '+0.20', '-0.03', '-0.16', 1]
['+0.14', '+0.00', '-0.03', '+0.12', 0]
['+0.14', '+0.20', '-0.03', '-0.18', 1]
['+0.14', '+0.01', '-0.04', '+0.10', 0]
['+0.14', '+0.20', '-0.03', '-0.20', 1]
['+0.15', '+0.01', '-0.04', '+0.08', 0]
['+0.15', '+0.20', '-0.04', '-0.22', 1]
['+0.15', '+0.01', '-0.04', '+0.06', 0]
['+0.15', '+0.20', '-0.04', '-0.25', 1]
['+0.16', '+0.01', '-0.04', '+0.03', 0]
['+0.16', '+0.20', '-0.04', '-0.27', 1]
['+0.16', '+0.01', '-0.05', '+0.00', 0]
['+0.16', '+0.21', '-0.05', '-0.30', 1]
['+0.17', '+0.01', '-0.05', '-0.03', 0]
['+0.17', '+0.21', '-0.06', '-0.34', 1]
['+0.17', '+0.01', '-0.06', '-0.06', 0]
