['-0.24', '-0.39', '+0.02', '+0.28', 0]
['-0.05', '-0.22', '+0.00', '+0.25', 0]
['-0.05', '-0.02', '+0.01', '-0.04', 1]
['-0.05', '-0.22', '+0.01', '+0.25', 0]
['-0.06', '-0.02', '+0.01', '-0.04', 1]
['-0.06', '-0.22', '+0.01', '+0.25', 0]
['-0.06', '-0.02', '+0.01', '-0.03', 1]
['-0.06', '-0.22', '+0.01', '+0.26', 0]
['-0.07', '-0.02', '+0.02', '-0.03', 1]
['-0.07', '+0.17', '+0.02', '-0.31', 1]
['-0.07', '-0.02', '+0.01', '-0.01', 0]
['-0.07', '+0.17', '+0.01', '-0.30', 1]
['-0.06', '-0.03', '+0.01', '-0.01', 0]
['-0.06', '+0.17', '+0.01', '-0.30', 1]
['-0.06', '-0.03', '-0.00', '-0.00', 0]
['-0.06', '+0.17', '-0.00', '-0.30', 1]
['-0.06', '-0.03', '-0.01', '-0.00', 0]
['-0.06', '+0.17', '-0.01', '-0.30', 1]
['-0.05', '-0.03', '-0.01', '-0.01', 0]
['-0.05', '+0.17', '-0.01', '-0.30', 1]
['-0.05', '-0.02', '-0.02', '-0.02', 0]
['-0.05', '+0.17', '-0.02', '-0.31', 1]
['-0.05', '-0.02', '-0.03', '-0.03', 0]
['-0.05', '-0.22', '-0.03', '+0.26', 0]
['-0.05', '-0.02', '-0.02', '-0.04', 1]
['-0.05', '-0.22', '-0.02', '+0.24', 0]
['-0.06', '-0.02', '-0.02', '-0.06', 1]
['-0.06', '-0.22', '-0.02', '+0.23', 0]
['-0.06', '-0.02', '-0.01', '-0.07', 1]
['-0.06', '-0.22', '-0.01', '+0.22', 0]
['-0.07', '-0.02', '-0.01', '-0.08', 1]
['-0.07', '-0.22', '-0.01', '+0.21', 0]
['-0.07', '-0.02', '-0.01', '-0.08', 1]
['-0.07', '-0.22', '-0.01', '+0.21', 0]
['-0.08', '-0.02', '-0.00', '-0.09', 1]
['-0.08', '-0.22', '-0.01', '+0.20', 0]
['-0.08', '-0.02', '-0.00', '-0.09', 1]
['-0.08', '-0.22', '-0.00', '+0.20', 0]
['-0.09', '-0.02', '+0.00', '-0.09', 1]
['-0.09', '-0.22', '-0.00', '+0.20', 0]
['-0.09', '-0.02', '+0.00', '-0.09', 1]
['-0.09', '-0.22', '+0.00', '+0.20', 0]
['-0.10', '-0.02', '+0.00', '-0.09', 1]
['-0.10', '-0.22', '+0.00', '+0.20', 0]
['-0.10', '-0.02', '+0.01', '-0.09', 1]
['-0.10', '-0.22', '+0.00', '+0.21', 0]
['-0.11', '-0.02', '+0.01', '-0.09', 1]
['-0.11', '-0.22', '+0.01', '+0.21', 0]
['-0.11', '-0.02', '+0.01', '-0.08', 1]
['-0.11', '-0.22', '+0.01', '+0.22', 0]
['-0.11', '-0.02', '+0.01', '-0.07', 1]
['-0.12', '-0.22', '+0.01', '+0.22', 0]
['-0.12', '-0.02', '+0.02', '-0.07', 1]
['-0.12', '-0.22', '+0.02', '+0.23', 0]
['-0.12', '-0.02', '+0.02', '-0.06', 1]
['-0.13', '-0.22', '+0.02', '+0.24', 0]
['-0.13', '-0.02', '+0.02', '-0.04', 1]
['-0.13', '-0.22', '+0.02', '+0.26', 0]
