['+0.10', '+0.42', '-0.12', '-0.39', 1]
['+0.02', '+0.24', '+0.04', '-0.23', 1]
['+0.02', '+0.05', '+0.04', '+0.07', 0]
['+0.03', '+0.24', '+0.04', '-0.21', 1]
['+0.03', '+0.04', '+0.03', '+0.10', 0]
['+0.03', '+0.24', '+0.04', '-0.18', 1]
['+0.04', '+0.04', '+0.03', '+0.12', 0]
['+0.04', '+0.24', '+0.03', '-0.16', 1]
['+0.04', '+0.04', '+0.03', '+0.14', 0]
['+0.04', '+0.24', '+0.03', '-0.14', 1]
['+0.05', '+0.04', '+0.03', '+0.16', 0]
['+0.05', '+0.24', '+0.03', '-0.12', 1]
['+0.05', '+0.43', '+0.03', '-0.40', 1]
['+0.06', '+0.24', '+0.02', '-0.10', 0]
['+0.07', '+0.43', '+0.02', '-0.39', 1]
['+0.07', '+0.23', '+0.01', '-0.09', 0]
['+0.08', '+0.43', '+0.01', '-0.38', 1]
['+0.09', '+0.23', '+0.00', '-0.08', 0]
['+0.09', '+0.43', '+0.00', '-0.37', 1]
['+0.10', '+0.23', '-0.00', '-0.08', 0]
['+0.11', '+0.43', '-0.01', '-0.37', 1]
['+0.11', '+0.23', '-0.01', '-0.08', 0]
['+0.12', '+0.43', '-0.01', '-0.38', 1]
['+0.13', '+0.23', '-0.02', '-0.09', 0]
['+0.13', '+0.43', '-0.02', '-0.39', 1]
['+0.14', '+0.24', '-0.03', '-0.10', 0]
['+0.15', '+0.43', '-0.03', '-0.41', 1]
['+0.15', '+0.24', '-0.04', '-0.12', 0]
['+0.16', '+0.04', '-0.04', '+0.16', 0]
['+0.16', '+0.24', '-0.04', '-0.15', 1]
['+0.16', '+0.04', '-0.04', '+0.13', 0]
['+0.17', '+0.24', '-0.04', '-0.18', 1]
['+0.17', '+0.04', '-0.05', '+0.10', 0]
['+0.17', '+0.24', '-0.04', '-0.21', 1]
['+0.18', '+0.05', '-0.05', '+0.07', 0]
['+0.18', '+0.24', '-0.05', '-0.23', 1]
['+0.18', '+0.05', '-0.05', '+0.04', 0]
['+0.18', '+0.24', '-0.05', '-0.26', 1]
['+0.19', '+0.05', '-0.06', '+0.01', 0]
['+0.19', '+0.24', '-0.06', '-0.30', 1]
['+0.19', '+0.05', '-0.06', '-0.02', 0]
['+0.19', '+0.25', '-0.06', '-0.33', 1]
['+0.20', '+0.05', '-0.07', '-0.06', 0]
['+0.20', '-0.14', '-0.07', '+0.21', 0]
['+0.20', '+0.05', '-0.07', '-0.11', 1]
['+0.20', '-0.14', '-0.07', '+0.17', 0]
['+0.20', '+0.06', '-0.06', '-0.15', 1]
['+0.20', '-0.14', '-0.07', '+0.13', 0]
['+0.19', '+0.06', '-0.06', '-0.19', 1]
['+0.20', '-0.14', '-0.07', '+0.08', 0]
['+0.19', '+0.06', '-0.07', '-0.23', 1]
['+0.19', '-0.13', '-0.07', '+0.04', 0]
['+0.19', '+0.06', '-0.07', '-0.27', 1]
['+0.19', '-0.13', '-0.08', '-0.00', 0]
['+0.19', '-0.33', '-0.08', '+0.26', 0]
['+0.18', '-0.13', '-0.07', '-0.05', 1]
['+0.18', '-0.32', '-0.07', '+0.22', 0]
['+0.17', '-0.13', '-0.07', '-0.10', 1]
['+0.17', '-0.32', '-0.07', '+0.18', 0]
['+0.17', '-0.13', '-0.07', '-0.14', 1]
['+0.16', '-0.32', '-0.07', '+0.13', 0]
['+0.16', '-0.12', '-0.07', '-0.18', 1]
['+0.15', '-0.32', '-0.07', '+0.09', 0]
['+0.15', '-0.12', '-0.07', '-0.22', 1]
['+0.14', '-0.32', '-0.07', '+0.05', 0]
['+0.14', '-0.51', '-0.07', '+0.32', 0]
['+0.13', '-0.32', '-0.06', '+0.00', 1]
['+0.12', '-0.51', '-0.06', '+0.27', 0]
['+0.11', '-0.31', '-0.06', '-0.04', 1]
['+0.11', '-0.51', '-0.06', '+0.24', 0]
['+0.10', '-0.31', '-0.06', '-0.08', 1]
['+0.09', '-0.51', '-0.06', '+0.20', 0]
['+0.08', '-0.31', '-0.05', '-0.11', 1]
['+0.07', '-0.50', '-0.05', '+0.16', 0]
['+0.06', '-0.31', '-0.05', '-0.15', 1]
['+0.06', '-0.50', '-0.05', '+0.13', 0]
['+0.05', '-0.70', '-0.05', '+0.41', 0]
['+0.03', '-0.50', '-0.04', '+0.10', 1]
['+0.02', '-0.70', '-0.04', '+0.38', 0]
['+0.01', '-0.50', '-0.03', '+0.07', 1]
['-0.00', '-0.69', '-0.03', '+0.35', 0]
['-0.02', '-0.50', '-0.03', '+0.05', 1]
['-0.03', '-0.69', '-0.02', '+0.33', 0]
['-0.04', '-0.50', '-0.02', '+0.03', 1]
['-0.05', '-0.69', '-0.02', '+0.32', 0]
['-0.06', '-0.50', '-0.01', '+0.02', 1]
['-0.07', '-0.69', '-0.01', '+0.31', 0]
['-0.09', '-0.50', '-0.00', '+0.01', 1]
['-0.10', '-0.69', '-0.00', '+0.31', 0]
['-0.11', '-0.50', '+0.00', '+0.01', 1]
['-0.12', '-0.69', '+0.00', '+0.31', 0]
['-0.13', '-0.50', '+0.01', '+0.01', 1]
['-0.14', '-0.69', '+0.01', '+0.31', 0]
['-0.16', '-0.50', '+0.01', '+0.02', 1]
['-0.17', '-0.69', '+0.01', '+0.32', 0]
['-0.18', '-0.50', '+0.02', '+0.03', 1]
['-0.19', '-0.69', '+0.02', '+0.33', 0]
['-0.21', '-0.50', '+0.03', '+0.04', 1]
['-0.22', '-0.69', '+0.03', '+0.34', 0]
['-0.23', '-0.50', '+0.04', '+0.06', 1]
['-0.24', '-0.70', '+0.04', '+0.36', 0]
['-0.25', '-0.50', '+0.04', '+0.08', 1]
['-0.26', '-0.70', '+0.05', '+0.39', 0]
['-0.28', '-0.50', '+0.05', '+0.11', 1]
['-0.29', '-0.70', '+0.06', '+0.42', 0]
['-0.30', '-0.50', '+0.06', '+0.15', 1]
['-0.31', '-0.70', '+0.07', '+0.46', 0]
['-0.33', '-0.51', '+0.08', '+0.19', 1]
['-0.34', '-0.31', '+0.08', '-0.08', 1]
['-0.34', '-0.51', '+0.08', '+0.24', 0]
['-0.35', '-0.31', '+0.08', '-0.03', 1]
['-0.36', '-0.51', '+0.08', '+0.29', 0]
['-0.37', '-0.32', '+0.09', '+0.02', 1]
['-0.37', '-0.51', '+0.09', '+0.34', 0]
['-0.39', '-0.32', '+0.10', '+0.08', 1]
['-0.39', '-0.51', '+0.10', '+0.40', 0]
['-0.40', '-0.32', '+0.11', '+0.14', 1]
['-0.41', '-0.13', '+0.11', '-0.12', 1]
['-0.41', '-0.32', '+0.11', '+0.21', 0]
['-0.42', '-0.13', '+0.11', '-0.05', 1]
['-0.42', '-0.33', '+0.11', '+0.27', 0]
['-0.43', '-0.13', '+0.11', '+0.02', 1]
['-0.43', '-0.33', '+0.11', '+0.34', 0]
['-0.44', '-0.14', '+0.12', '+0.09', 1]
['-0.44', '+0.06', '+0.12', '-0.16', 1]
['-0.44', '-0.14', '+0.12', '+0.17', 0]
['-0.44', '+0.05', '+0.12', '-0.08', 1]
['-0.44', '-0.14', '+0.12', '+0.24', 0]
['-0.44', '+0.05', '+0.13', '-0.01', 1]
['-0.44', '+0.24', '+0.13', '-0.26', 1]
['-0.44', '+0.05', '+0.12', '+0.07', 0]
['-0.44', '+0.24', '+0.12', '-0.18', 1]
['-0.43', '+0.04', '+0.12', '+0.15', 0]
['-0.43', '+0.24', '+0.12', '-0.10', 1]
['-0.42', '+0.04', '+0.12', '+0.23', 0]
['-0.42', '+0.23', '+0.12', '-0.03', 1]
['-0.42', '+0.43', '+0.12', '-0.28', 1]
['-0.41', '+0.23', '+0.12', '+0.05', 0]
['-0.41', '+0.42', '+0.12', '-0.20', 1]
['-0.40', '+0.22', '+0.12', '+0.13', 0]
['-0.39', '+0.42', '+0.12', '-0.13', 1]
['-0.39', '+0.61', '+0.12', '-0.38', 1]
['-0.37', '+0.41', '+0.11', '-0.05', 0]
['-0.36', '+0.61', '+0.11', '-0.31', 1]
['-0.35', '+0.41', '+0.10', '+0.01', 0]
['-0.34', '+0.61', '+0.10', '-0.25', 1]
['-0.33', '+0.41', '+0.10', '+0.08', 0]
['-0.32', '+0.60', '+0.10', '-0.18', 1]
['-0.31', '+0.80', '+0.09', '-0.44', 1]
['-0.30', '+0.60', '+0.09', '-0.12', 0]
['-0.28', '+0.79', '+0.08', '-0.39', 1]
['-0.27', '+0.60', '+0.07', '-0.07', 0]
['-0.26', '+0.79', '+0.07', '-0.34', 1]
['-0.24', '+0.60', '+0.07', '-0.02', 0]
['-0.23', '+0.79', '+0.07', '-0.29', 1]
['-0.21', '+0.98', '+0.06', '-0.57', 1]
['-0.19', '+0.79', '+0.05', '-0.25', 0]
['-0.18', '+0.98', '+0.04', '-0.53', 1]
['-0.16', '+0.79', '+0.03', '-0.23', 0]
['-0.14', '+0.98', '+0.03', '-0.51', 1]
['-0.12', '+0.79', '+0.02', '-0.21', 0]
['-0.11', '+0.98', '+0.01', '-0.49', 1]
['-0.09', '+0.79', '+0.00', '-0.19', 0]
['-0.07', '+0.98', '+0.00', '-0.49', 1]
['-0.05', '+0.78', '-0.01', '-0.19', 0]
['-0.04', '+0.98', '-0.01', '-0.49', 1]
['-0.02', '+0.79', '-0.02', '-0.20', 0]
['-0.00', '+0.98', '-0.03', '-0.50', 1]
['+0.02', '+0.79', '-0.04', '-0.22', 0]
['+0.03', '+0.98', '-0.04', '-0.52', 1]
['+0.05', '+0.79', '-0.05', '-0.24', 0]
['+0.07', '+0.98', '-0.06', '-0.55', 1]
['+0.09', '+0.79', '-0.07', '-0.27', 0]
['+0.11', '+0.98', '-0.07', '-0.59', 1]
['+0.13', '+0.79', '-0.08', '-0.32', 0]
