['-0.40', '-0.03', '+0.05', '-0.02', 1]
['-0.40', '-0.22', '+0.05', '+0.29', 0]
['-0.40', '-0.03', '+0.06', '+0.01', 1]
['-0.41', '+0.17', '+0.06', '-0.26', 1]
['-0.40', '-0.03', '+0.05', '+0.05', 0]
['-0.40', '+0.16', '+0.05', '-0.23', 1]
['-0.40', '-0.03', '+0.05', '+0.08', 0]
['-0.40', '+0.16', '+0.05', '-0.20', 1]
['-0.40', '-0.03', '+0.05', '+0.11', 0]
['-0.40', '+0.16', '+0.05', '-0.16', 1]
['-0.39', '-0.03', '+0.05', '+0.14', 0]
['-0.39', '+0.16', '+0.05', '-0.14', 1]
['-0.39', '-0.04', '+0.05', '+0.17', 0]
['-0.39', '+0.16', '+0.05', '-0.11', 1]
['-0.39', '-0.04', '+0.05', '+0.20', 0]
['-0.39', '+0.16', '+0.05', '-0.08', 1]
['-0.39', '-0.04', '+0.05', '+0.23', 0]
['-0.39', '+0.16', '+0.05', '-0.04', 1]
['-0.38', '+0.35', '+0.05', '-0.32', 1]
['-0.38', '+0.15', '+0.05', '-0.01', 0]
['-0.37', '+0.35', '+0.05', '-0.29', 1]
['-0.37', '+0.15', '+0.04', '+0.02', 0]
['-0.36', '+0.35', '+0.04', '-0.26', 1]
['-0.36', '+0.15', '+0.04', '+0.04', 0]
['-0.35', '+0.35', '+0.04', '-0.24', 1]
['-0.35', '+0.15', '+0.03', '+0.07', 0]
['-0.34', '+0.35', '+0.03', '-0.21', 1]
['-0.34', '+0.15', '+0.03', '+0.09', 0]
['-0.33', '+0.34', '+0.03', '-0.20', 1]
['-0.33', '+0.15', '+0.03', '+0.11', 0]
['-0.32', '+0.34', '+0.03', '-0.18', 1]
['-0.32', '+0.15', '+0.03', '+0.12', 0]
['-0.31', '+0.34', '+0.03', '-0.16', 1]
['-0.31', '+0.15', '+0.02', '+0.14', 0]
['-0.30', '+0.34', '+0.03', '-0.14', 1]
['-0.30', '+0.15', '+0.02', '+0.16', 0]
['-0.30', '+0.34', '+0.03', '-0.13', 1]
['-0.29', '+0.15', '+0.03', '+0.17', 0]
['-0.29', '+0.34', '+0.03', '-0.11', 1]
['+0.04', '+0.18', '+0.02', '-0.24', 1]
['+0.05', '-0.02', '+0.02', '+0.06', 0]
['+0.05', '+0.18', '+0.02', '-0.23', 1]
['+0.05', '-0.02', '+0.01', '+0.07', 0]
['+0.05', '+0.18', '+0.02', '-0.22', 1]
['+0.05', '-0.02', '+0.01', '+0.08', 0]
['+0.05', '+0.17', '+0.01', '-0.21', 1]
['+0.06', '-0.02', '+0.01', '+0.09', 0]
