['-0.00', '+0.94', '-0.13', '-0.15', '+0.00', '-0.01', '+0.00', '+0.00', 3]
['-0.00', '+0.93', '-0.12', '-0.18', '-0.00', '-0.05', '+0.00', '+0.00', 3]
['-0.01', '+0.93', '-0.12', '-0.21', '-0.00', '-0.05', '+0.00', '+0.00', 0]
['-0.01', '+0.93', '-0.12', '-0.23', '-0.01', '-0.05', '+0.00', '+0.00', 0]
['-0.01', '+0.92', '-0.12', '-0.26', '-0.01', '-0.05', '+0.00', '+0.00', 0]
['-0.01', '+0.92', '-0.12', '-0.29', '-0.01', '-0.05', '+0.00', '+0.00', 0]
['-0.01', '+0.91', '-0.12', '-0.31', '-0.02', '-0.05', '+0.00', '+0.00', 0]
['-0.01', '+0.91', '-0.12', '-0.34', '-0.02', '-0.05', '+0.00', '+0.00', 0]
['-0.01', '+0.90', '-0.12', '-0.37', '-0.02', '-0.05', '+0.00', '+0.00', 0]
['-0.01', '+0.90', '-0.12', '-0.39', '-0.02', '-0.05', '+0.00', '+0.00', 0]
['-0.01', '+0.89', '-0.12', '-0.42', '-0.03', '-0.05', '+0.00', '+0.00', 0]
['-0.02', '+0.88', '-0.12', '-0.45', '-0.03', '-0.05', '+0.00', '+0.00', 0]
['-0.02', '+0.88', '-0.12', '-0.47', '-0.03', '-0.05', '+0.00', '+0.00', 0]
['-0.02', '+0.87', '-0.12', '-0.50', '-0.03', '-0.05', '+0.00', '+0.00', 0]
['-0.02', '+0.86', '-0.12', '-0.53', '-0.04', '-0.05', '+0.00', '+0.00', 0]
['-0.02', '+0.85', '-0.12', '-0.55', '-0.04', '-0.05', '+0.00', '+0.00', 0]
['-0.02', '+0.85', '-0.12', '-0.58', '-0.04', '-0.05', '+0.00', '+0.00', 0]
['-0.02', '+0.84', '-0.12', '-0.61', '-0.04', '-0.05', '+0.00', '+0.00', 0]
['-0.02', '+0.83', '-0.12', '-0.63', '-0.05', '-0.05', '+0.00', '+0.00', 0]
['-0.03', '+0.82', '-0.12', '-0.66', '-0.05', '-0.05', '+0.00', '+0.00', 0]
['-0.03', '+0.81', '-0.12', '-0.69', '-0.05', '-0.05', '+0.00', '+0.00', 0]
['-0.03', '+0.80', '-0.12', '-0.71', '-0.06', '-0.05', '+0.00', '+0.00', 0]
['-0.03', '+0.79', '-0.12', '-0.74', '-0.06', '-0.05', '+0.00', '+0.00', 0]
['-0.03', '+0.77', '-0.12', '-0.77', '-0.06', '-0.05', '+0.00', '+0.00', 0]
['-0.03', '+0.76', '-0.12', '-0.79', '-0.06', '-0.05', '+0.00', '+0.00', 0]
['-0.03', '+0.75', '-0.12', '-0.82', '-0.07', '-0.05', '+0.00', '+0.00', 0]
['-0.03', '+0.74', '-0.12', '-0.85', '-0.07', '-0.05', '+0.00', '+0.00', 0]
['-0.04', '+0.72', '-0.13', '-0.81', '-0.07', '-0.07', '+0.00', '+0.00', 2]
['-0.04', '+0.71', '-0.12', '-0.79', '-0.08', '-0.07', '+0.00', '+0.00', 2]
['-0.04', '+0.70', '-0.12', '-0.82', '-0.08', '-0.07', '+0.00', '+0.00', 0]
['-0.04', '+0.69', '-0.12', '-0.77', '-0.08', '-0.08', '+0.00', '+0.00', 2]
['-0.04', '+0.68', '-0.12', '-0.76', '-0.09', '-0.08', '+0.00', '+0.00', 2]
['-0.04', '+0.67', '-0.10', '-0.75', '-0.09', '-0.07', '+0.00', '+0.00', 2]
['-0.04', '+0.65', '-0.09', '-0.74', '-0.09', '-0.06', '+0.00', '+0.00', 2]
['-0.04', '+0.64', '-0.09', '-0.72', '-0.10', '-0.07', '+0.00', '+0.00', 2]
['-0.04', '+0.63', '-0.10', '-0.75', '-0.10', '-0.03', '+0.00', '+0.00', 1]
['-0.05', '+0.62', '-0.08', '-0.73', '-0.10', '-0.02', '+0.00', '+0.00', 2]
['-0.05', '+0.61', '-0.08', '-0.71', '-0.10', '-0.02', '+0.00', '+0.00', 2]
['-0.05', '+0.60', '-0.06', '-0.68', '-0.10', '-0.02', '+0.00', '+0.00', 2]
['-0.05', '+0.59', '-0.05', '-0.68', '-0.10', '-0.01', '+0.00', '+0.00', 2]
['-0.05', '+0.58', '-0.06', '-0.64', '-0.10', '-0.03', '+0.00', '+0.00', 2]
['-0.05', '+0.57', '-0.06', '-0.67', '-0.10', '-0.03', '+0.00', '+0.00', 0]
['-0.05', '+0.56', '-0.05', '-0.65', '-0.11', '-0.03', '+0.00', '+0.00', 2]
['-0.05', '+0.55', '-0.03', '-0.65', '-0.11', '-0.01', '+0.00', '+0.00', 2]
['-0.05', '+0.54', '-0.01', '-0.62', '-0.11', '-0.00', '+0.00', '+0.00', 2]
['-0.05', '+0.53', '+0.00', '-0.60', '-0.11', '+0.00', '+0.00', '+0.00', 2]
['-0.05', '+0.52', '+0.00', '-0.62', '-0.11', '+0.00', '+0.00', '+0.00', 0]
['-0.05', '+0.52', '+0.01', '-0.61', '-0.11', '+0.01', '+0.00', '+0.00', 2]
['-0.05', '+0.51', '+0.00', '-0.61', '-0.11', '-0.01', '+0.00', '+0.00', 2]
['-0.05', '+0.50', '-0.01', '-0.57', '-0.11', '-0.03', '+0.00', '+0.00', 2]
['-0.05', '+0.49', '-0.02', '-0.60', '-0.11', '+0.02', '+0.00', '+0.00', 1]
['-0.05', '+0.48', '-0.01', '-0.57', '-0.11', '+0.01', '+0.00', '+0.00', 2]
['-0.05', '+0.47', '-0.01', '-0.57', '-0.11', '+0.01', '+0.00', '+0.00', 2]
['-0.05', '+0.46', '-0.01', '-0.54', '-0.11', '+0.00', '+0.00', '+0.00', 2]
['-0.05', '+0.46', '-0.01', '-0.52', '-0.11', '-0.00', '+0.00', '+0.00', 2]
['-0.05', '+0.45', '-0.01', '-0.54', '-0.11', '-0.00', '+0.00', '+0.00', 0]
['-0.05', '+0.44', '-0.02', '-0.52', '-0.11', '-0.02', '+0.00', '+0.00', 2]
['-0.05', '+0.43', '-0.01', '-0.51', '-0.11', '-0.02', '+0.00', '+0.00', 2]
['-0.05', '+0.42', '-0.02', '-0.54', '-0.11', '+0.02', '+0.00', '+0.00', 1]
['-0.05', '+0.42', '-0.02', '-0.54', '-0.11', '+0.02', '+0.00', '+0.00', 2]
['-0.05', '+0.41', '-0.01', '-0.52', '-0.10', '+0.02', '+0.00', '+0.00', 2]
['-0.05', '+0.40', '+0.00', '-0.50', '-0.10', '+0.03', '+0.00', '+0.00', 2]
['-0.05', '+0.39', '+0.00', '-0.48', '-0.10', '+0.02', '+0.00', '+0.00', 2]
['-0.05', '+0.39', '-0.00', '-0.46', '-0.10', '+0.01', '+0.00', '+0.00', 2]
['-0.05', '+0.38', '-0.00', '-0.48', '-0.10', '+0.01', '+0.00', '+0.00', 0]
['-0.05', '+0.37', '-0.01', '-0.44', '-0.10', '-0.01', '+0.00', '+0.00', 2]
['-0.05', '+0.37', '-0.01', '-0.47', '-0.10', '-0.01', '+0.00', '+0.00', 0]
['-0.05', '+0.36', '+0.00', '-0.46', '-0.10', '-0.01', '+0.00', '+0.00', 2]
['-0.05', '+0.35', '+0.02', '-0.46', '-0.10', '+0.01', '+0.00', '+0.00', 2]
['-0.05', '+0.35', '+0.02', '-0.42', '-0.10', '+0.00', '+0.00', '+0.00', 2]
['-0.05', '+0.34', '+0.02', '-0.42', '-0.10', '-0.01', '+0.00', '+0.00', 2]
['-0.05', '+0.33', '+0.04', '-0.39', '-0.10', '+0.00', '+0.00', '+0.00', 2]
['-0.05', '+0.33', '+0.03', '-0.41', '-0.10', '+0.04', '+0.00', '+0.00', 1]
['-0.05', '+0.32', '+0.05', '-0.40', '-0.10', '+0.05', '+0.00', '+0.00', 2]
['-0.05', '+0.32', '+0.04', '-0.39', '-0.10', '+0.04', '+0.00', '+0.00', 2]
['-0.05', '+0.31', '+0.04', '-0.41', '-0.09', '+0.04', '+0.00', '+0.00', 0]
['-0.05', '+0.30', '+0.04', '-0.38', '-0.09', '+0.03', '+0.00', '+0.00', 2]
['-0.05', '+0.30', '+0.04', '-0.40', '-0.09', '+0.03', '+0.00', '+0.00', 0]
['-0.05', '+0.29', '+0.06', '-0.39', '-0.09', '+0.05', '+0.00', '+0.00', 2]
['-0.05', '+0.29', '+0.06', '-0.38', '-0.09', '+0.04', '+0.00', '+0.00', 2]
['-0.05', '+0.28', '+0.05', '-0.37', '-0.09', '+0.02', '+0.00', '+0.00', 2]
['-0.04', '+0.27', '+0.06', '-0.36', '-0.08', '+0.03', '+0.00', '+0.00', 2]
['-0.04', '+0.27', '+0.06', '-0.32', '-0.08', '+0.02', '+0.00', '+0.00', 2]
['-0.04', '+0.26', '+0.06', '-0.35', '-0.08', '+0.02', '+0.00', '+0.00', 0]
['-0.04', '+0.26', '+0.07', '-0.33', '-0.08', '+0.02', '+0.00', '+0.00', 2]
['-0.04', '+0.25', '+0.07', '-0.35', '-0.08', '+0.02', '+0.00', '+0.00', 0]
['-0.04', '+0.25', '+0.09', '-0.34', '-0.08', '+0.04', '+0.00', '+0.00', 2]
['-0.04', '+0.24', '+0.09', '-0.33', '-0.08', '+0.04', '+0.00', '+0.00', 2]
['-0.04', '+0.24', '+0.10', '-0.32', '-0.07', '+0.04', '+0.00', '+0.00', 2]
['-0.04', '+0.23', '+0.10', '-0.34', '-0.07', '+0.04', '+0.00', '+0.00', 0]
['-0.04', '+0.23', '+0.10', '-0.34', '-0.07', '+0.04', '+0.00', '+0.00', 2]
['-0.04', '+0.22', '+0.11', '-0.30', '-0.07', '+0.04', '+0.00', '+0.00', 2]
['-0.04', '+0.22', '+0.11', '-0.33', '-0.07', '+0.04', '+0.00', '+0.00', 0]
