['+0.01', '+0.94', '+0.68', '+0.09', '-0.01', '-0.11', '+0.00', '+0.00', 1]
['+0.02', '+0.94', '+0.67', '+0.06', '-0.02', '-0.07', '+0.00', '+0.00', 1]
['+0.03', '+0.95', '+0.66', '+0.03', '-0.02', '-0.03', '+0.00', '+0.00', 1]
['+0.03', '+0.95', '+0.65', '+0.01', '-0.02', '+0.01', '+0.00', '+0.00', 1]
['+0.04', '+0.94', '+0.64', '-0.02', '-0.02', '+0.05', '+0.00', '+0.00', 1]
['+0.05', '+0.94', '+0.63', '-0.04', '-0.01', '+0.10', '+0.00', '+0.00', 1]
['+0.05', '+0.94', '+0.62', '-0.07', '-0.00', '+0.14', '+0.00', '+0.00', 1]
['+0.06', '+0.94', '+0.61', '-0.10', '+0.01', '+0.18', '+0.00', '+0.00', 1]
['+0.06', '+0.94', '+0.61', '-0.13', '+0.01', '+0.18', '+0.00', '+0.00', 0]
['+0.07', '+0.94', '+0.61', '-0.15', '+0.02', '+0.18', '+0.00', '+0.00', 0]
['+0.08', '+0.93', '+0.61', '-0.18', '+0.03', '+0.18', '+0.00', '+0.00', 0]
['+0.08', '+0.93', '+0.61', '-0.21', '+0.04', '+0.18', '+0.00', '+0.00', 0]
['+0.09', '+0.93', '+0.61', '-0.23', '+0.05', '+0.18', '+0.00', '+0.00', 0]
['+0.10', '+0.92', '+0.61', '-0.26', '+0.06', '+0.18', '+0.00', '+0.00', 0]
['+0.10', '+0.92', '+0.61', '-0.29', '+0.07', '+0.18', '+0.00', '+0.00', 0]
['+0.11', '+0.92', '+0.61', '-0.31', '+0.08', '+0.18', '+0.00', '+0.00', 0]
['+0.11', '+0.91', '+0.61', '-0.34', '+0.09', '+0.18', '+0.00', '+0.00', 0]
['+0.12', '+0.90', '+0.61', '-0.37', '+0.09', '+0.18', '+0.00', '+0.00', 0]
['+0.13', '+0.90', '+0.61', '-0.39', '+0.10', '+0.18', '+0.00', '+0.00', 0]
['+0.13', '+0.89', '+0.61', '-0.42', '+0.11', '+0.18', '+0.00', '+0.00', 0]
['+0.14', '+0.89', '+0.61', '-0.45', '+0.12', '+0.18', '+0.00', '+0.00', 0]
