['-0.01', '+0.93', '-0.47', '-0.26', '+0.01', '+0.07', '+0.00', '+0.00', 3]
['-0.01', '+0.93', '-0.46', '-0.29', '+0.01', '+0.03', '+0.00', '+0.00', 3]
['-0.02', '+0.92', '-0.46', '-0.32', '+0.01', '-0.00', '+0.00', '+0.00', 3]
['-0.02', '+0.92', '-0.45', '-0.34', '+0.01', '-0.03', '+0.00', '+0.00', 3]
['-0.03', '+0.91', '-0.44', '-0.37', '+0.00', '-0.08', '+0.00', '+0.00', 3]
['-0.03', '+0.91', '-0.43', '-0.40', '-0.00', '-0.12', '+0.00', '+0.00', 3]
['-0.04', '+0.90', '-0.41', '-0.42', '-0.01', '-0.17', '+0.00', '+0.00', 3]
['-0.04', '+0.89', '-0.41', '-0.45', '-0.02', '-0.17', '+0.00', '+0.00', 0]
['-0.04', '+0.89', '-0.41', '-0.48', '-0.03', '-0.17', '+0.00', '+0.00', 0]
['-0.05', '+0.88', '-0.41', '-0.50', '-0.03', '-0.17', '+0.00', '+0.00', 0]
['-0.05', '+0.87', '-0.41', '-0.53', '-0.04', '-0.17', '+0.00', '+0.00', 0]
['-0.06', '+0.86', '-0.41', '-0.56', '-0.05', '-0.17', '+0.00', '+0.00', 0]
['-0.06', '+0.85', '-0.41', '-0.58', '-0.06', '-0.17', '+0.00', '+0.00', 0]
['-0.07', '+0.85', '-0.41', '-0.61', '-0.07', '-0.17', '+0.00', '+0.00', 0]
['-0.07', '+0.84', '-0.41', '-0.64', '-0.08', '-0.17', '+0.00', '+0.00', 0]
['-0.07', '+0.83', '-0.41', '-0.66', '-0.08', '-0.17', '+0.00', '+0.00', 0]
['-0.08', '+0.82', '-0.41', '-0.69', '-0.09', '-0.17', '+0.00', '+0.00', 0]
['-0.08', '+0.80', '-0.41', '-0.72', '-0.10', '-0.17', '+0.00', '+0.00', 0]
['-0.09', '+0.79', '-0.41', '-0.74', '-0.11', '-0.17', '+0.00', '+0.00', 0]
['-0.09', '+0.78', '-0.41', '-0.77', '-0.12', '-0.17', '+0.00', '+0.00', 0]
['-0.10', '+0.77', '-0.41', '-0.80', '-0.13', '-0.17', '+0.00', '+0.00', 0]
['-0.10', '+0.76', '-0.41', '-0.82', '-0.13', '-0.17', '+0.00', '+0.00', 0]
['-0.10', '+0.75', '-0.40', '-0.82', '-0.14', '-0.16', '+0.00', '+0.00', 2]
['-0.11', '+0.73', '-0.39', '-0.78', '-0.15', '-0.16', '+0.00', '+0.00', 2]
['-0.11', '+0.72', '-0.36', '-0.75', '-0.16', '-0.15', '+0.00', '+0.00', 2]
['-0.11', '+0.71', '-0.36', '-0.77', '-0.17', '-0.15', '+0.00', '+0.00', 0]
['-0.12', '+0.70', '-0.34', '-0.77', '-0.17', '-0.13', '+0.00', '+0.00', 2]
['-0.12', '+0.69', '-0.32', '-0.76', '-0.18', '-0.12', '+0.00', '+0.00', 2]
['-0.12', '+0.68', '-0.30', '-0.73', '-0.18', '-0.12', '+0.00', '+0.00', 2]
['-0.13', '+0.67', '-0.30', '-0.72', '-0.19', '-0.13', '+0.00', '+0.00', 2]
['-0.13', '+0.66', '-0.27', '-0.70', '-0.20', '-0.11', '+0.00', '+0.00', 2]
['-0.13', '+0.65', '-0.26', '-0.70', '-0.20', '-0.11', '+0.00', '+0.00', 2]
['-0.14', '+0.64', '-0.25', '-0.68', '-0.21', '-0.11', '+0.00', '+0.00', 2]
['-0.14', '+0.63', '-0.24', '-0.64', '-0.21', '-0.13', '+0.00', '+0.00', 2]
