['+0.01', '+0.94', '+0.35', '-0.08', '-0.01', '-0.04', '+0.00', '+0.00', 1]
['+0.01', '+0.94', '+0.34', '-0.10', '-0.01', '+0.01', '+0.00', '+0.00', 1]
['+0.01', '+0.94', '+0.33', '-0.13', '-0.00', '+0.05', '+0.00', '+0.00', 1]
['+0.02', '+0.93', '+0.32', '-0.16', '+0.00', '+0.10', '+0.00', '+0.00', 1]
['+0.02', '+0.93', '+0.31', '-0.18', '+0.01', '+0.14', '+0.00', '+0.00', 1]
['+0.02', '+0.93', '+0.31', '-0.21', '+0.02', '+0.14', '+0.00', '+0.00', 0]
['+0.03', '+0.92', '+0.31', '-0.24', '+0.02', '+0.14', '+0.00', '+0.00', 0]
['+0.03', '+0.92', '+0.31', '-0.26', '+0.03', '+0.14', '+0.00', '+0.00', 0]
['+0.03', '+0.92', '+0.31', '-0.29', '+0.04', '+0.14', '+0.00', '+0.00', 0]
['+0.04', '+0.91', '+0.31', '-0.32', '+0.04', '+0.14', '+0.00', '+0.00', 0]
['+0.04', '+0.91', '+0.31', '-0.34', '+0.05', '+0.14', '+0.00', '+0.00', 0]
['+0.04', '+0.90', '+0.31', '-0.37', '+0.06', '+0.14', '+0.00', '+0.00', 0]
['+0.05', '+0.89', '+0.31', '-0.40', '+0.07', '+0.14', '+0.00', '+0.00', 0]
['+0.05', '+0.89', '+0.31', '-0.42', '+0.07', '+0.14', '+0.00', '+0.00', 0]
['+0.05', '+0.88', '+0.31', '-0.45', '+0.08', '+0.14', '+0.00', '+0.00', 0]
['+0.06', '+0.87', '+0.31', '-0.48', '+0.09', '+0.14', '+0.00', '+0.00', 0]
['+0.06', '+0.87', '+0.31', '-0.50', '+0.10', '+0.14', '+0.00', '+0.00', 0]
['+0.06', '+0.86', '+0.31', '-0.53', '+0.10', '+0.14', '+0.00', '+0.00', 0]
['+0.06', '+0.85', '+0.31', '-0.56', '+0.11', '+0.14', '+0.00', '+0.00', 0]
['+0.07', '+0.84', '+0.31', '-0.58', '+0.12', '+0.14', '+0.00', '+0.00', 0]
['+0.07', '+0.83', '+0.31', '-0.61', '+0.12', '+0.14', '+0.00', '+0.00', 0]
['+0.07', '+0.82', '+0.31', '-0.64', '+0.13', '+0.14', '+0.00', '+0.00', 0]
['+0.08', '+0.81', '+0.31', '-0.66', '+0.14', '+0.14', '+0.00', '+0.00', 0]
['+0.08', '+0.80', '+0.31', '-0.69', '+0.15', '+0.14', '+0.00', '+0.00', 0]
['+0.08', '+0.79', '+0.31', '-0.72', '+0.15', '+0.14', '+0.00', '+0.00', 0]
['+0.09', '+0.78', '+0.31', '-0.74', '+0.16', '+0.14', '+0.00', '+0.00', 0]
['+0.09', '+0.77', '+0.31', '-0.77', '+0.17', '+0.14', '+0.00', '+0.00', 0]
['+0.09', '+0.76', '+0.32', '-0.80', '+0.17', '+0.11', '+0.00', '+0.00', 3]
['+0.10', '+0.74', '+0.32', '-0.82', '+0.18', '+0.11', '+0.00', '+0.00', 0]
['+0.10', '+0.73', '+0.30', '-0.82', '+0.18', '+0.10', '+0.00', '+0.00', 2]
['+0.10', '+0.72', '+0.28', '-0.78', '+0.19', '+0.11', '+0.00', '+0.00', 2]
['+0.10', '+0.71', '+0.27', '-0.77', '+0.19', '+0.11', '+0.00', '+0.00', 2]
['+0.11', '+0.70', '+0.25', '-0.73', '+0.20', '+0.10', '+0.00', '+0.00', 2]
['+0.11', '+0.69', '+0.26', '-0.75', '+0.20', '+0.06', '+0.00', '+0.00', 3]
['+0.11', '+0.68', '+0.26', '-0.72', '+0.21', '+0.08', '+0.00', '+0.00', 2]
['+0.11', '+0.67', '+0.23', '-0.69', '+0.21', '+0.08', '+0.00', '+0.00', 2]
['+0.12', '+0.65', '+0.23', '-0.72', '+0.21', '+0.08', '+0.00', '+0.00', 0]
['+0.12', '+0.64', '+0.21', '-0.68', '+0.22', '+0.07', '+0.00', '+0.00', 2]
['+0.12', '+0.63', '+0.19', '-0.67', '+0.22', '+0.07', '+0.00', '+0.00', 2]
['+0.12', '+0.62', '+0.20', '-0.69', '+0.22', '+0.02', '+0.00', '+0.00', 3]
['+0.13', '+0.61', '+0.18', '-0.66', '+0.22', '+0.02', '+0.00', '+0.00', 2]
['+0.13', '+0.60', '+0.14', '-0.63', '+0.22', '+0.00', '+0.00', '+0.00', 2]
['+0.13', '+0.59', '+0.14', '-0.65', '+0.22', '+0.00', '+0.00', '+0.00', 0]
['+0.13', '+0.59', '+0.14', '-0.65', '+0.22', '+0.01', '+0.00', '+0.00', 2]
['+0.13', '+0.58', '+0.13', '-0.63', '+0.22', '+0.01', '+0.00', '+0.00', 2]
['+0.13', '+0.57', '+0.09', '-0.60', '+0.22', '-0.01', '+0.00', '+0.00', 2]
['+0.13', '+0.56', '+0.08', '-0.59', '+0.22', '-0.00', '+0.00', '+0.00', 2]
['+0.13', '+0.55', '+0.08', '-0.58', '+0.22', '+0.01', '+0.00', '+0.00', 2]
['+0.13', '+0.54', '+0.06', '-0.57', '+0.22', '+0.00', '+0.00', '+0.00', 2]
['+0.13', '+0.53', '+0.04', '-0.54', '+0.22', '-0.00', '+0.00', '+0.00', 2]
['+0.13', '+0.52', '+0.05', '-0.56', '+0.22', '-0.05', '+0.00', '+0.00', 3]
['+0.14', '+0.52', '+0.05', '-0.54', '+0.22', '-0.03', '+0.00', '+0.00', 2]
['+0.14', '+0.51', '+0.02', '-0.53', '+0.22', '-0.05', '+0.00', '+0.00', 2]
['+0.14', '+0.50', '+0.02', '-0.55', '+0.22', '-0.05', '+0.00', '+0.00', 0]
['+0.14', '+0.49', '+0.01', '-0.53', '+0.21', '-0.03', '+0.00', '+0.00', 2]
['+0.14', '+0.48', '+0.00', '-0.52', '+0.21', '-0.03', '+0.00', '+0.00', 2]
['+0.14', '+0.48', '-0.01', '-0.50', '+0.21', '-0.03', '+0.00', '+0.00', 2]
['+0.14', '+0.47', '-0.01', '-0.52', '+0.21', '-0.03', '+0.00', '+0.00', 0]
['+0.13', '+0.46', '-0.04', '-0.50', '+0.21', '-0.04', '+0.00', '+0.00', 2]
['+0.13', '+0.45', '-0.08', '-0.46', '+0.20', '-0.06', '+0.00', '+0.00', 2]
['+0.13', '+0.45', '-0.08', '-0.49', '+0.20', '-0.06', '+0.00', '+0.00', 0]
['+0.13', '+0.44', '-0.10', '-0.47', '+0.20', '-0.07', '+0.00', '+0.00', 2]
['+0.13', '+0.43', '-0.13', '-0.47', '+0.19', '-0.09', '+0.00', '+0.00', 2]
['+0.13', '+0.43', '-0.13', '-0.48', '+0.19', '-0.08', '+0.00', '+0.00', 2]
['+0.13', '+0.42', '-0.15', '-0.47', '+0.18', '-0.09', '+0.00', '+0.00', 2]
['+0.13', '+0.41', '-0.17', '-0.44', '+0.18', '-0.10', '+0.00', '+0.00', 2]
['+0.12', '+0.40', '-0.17', '-0.46', '+0.17', '-0.10', '+0.00', '+0.00', 0]
['+0.12', '+0.40', '-0.17', '-0.46', '+0.17', '-0.08', '+0.00', '+0.00', 2]
['+0.12', '+0.39', '-0.18', '-0.43', '+0.17', '-0.08', '+0.00', '+0.00', 2]
